month,hay_use_kg,barley_use_kg,hay_stock_kg,hay_bought_kg,hay_tg_kg,barley_tg_kg
2024-09,0,0,470000,0,29.6,63.5
2024-10,0,0,470000,0,25.4,61.1
2024-11,65640,5370,404360,0,34.9,46.7
2024-12,67828,5549,336532,0,40.2,51.8
2025-01,67828,5549,268704,0,41.6,56.8
2025-02,61264,5012,207440,0,46.2,48.2
2025-03,79236,5549,128204,0,35.3,65.8
2025-04,83760,5340,44444,0,33.2,65.5
2025-05,0,0,44444,0,26.8,80.9
2025-06,0,0,44444,0,31.6,56.5
2025-07,0,0,44444,0,33.5,48.5
2025-08,0,0,484444,440000,32.6,71.9
2025-09,0,0,484444,0,35.9,75.9
2025-10,0,0,484444,0,31.1,70.7
2025-11,66000,5310,418444,0,43.6,86.8
2025-12,68200,5487,350244,0,40.9,70.5
2026-01,68200,5487,282044,0,39.8,59.7
2026-02,61600,4956,220444,0,30.3,74.8
2026-03,79484,5487,140960,0,30.1,65.8
2026-04,84240,5310,56720,0,30.3,68.7
2026-05,0,0,56720,0,35.8,75.8
2026-06,0,0,56720,0,56.9,72.7
2026-07,0,0,56720,0,38.6,70.3
2026-08,0,0,496720,440000,43.1,81.3
