month,hay_use_kg,barley_use_kg,hay_stock_kg,barley_stock_kg,hay_bought_kg,hay_tg_kg,barley_tg_kg
2024-09,170910,56970,98301,32767,170910,29.6,63.5
2024-10,148986,49662,66194,22065,148986,25.4,45.2
2024-11,145260,48420,99376,33125,145260,34.9,40.2
2024-12,151497,50499,80280,26760,151497,40.2,47.3
2025-01,176607,58869,133112,44371,176607,41.6,50.7
2025-02,155988,51996,40428,13476,155988,46.2,55.3
2025-03,172980,57660,73818,24606,172980,35.3,65.8
2025-04,166860,55620,91111,30370,166860,33.2,65.5
2025-05,172143,57381,81851,27284,172143,26.8,80.9
2025-06,166590,55530,72124,24041,166590,31.6,80.4
2025-07,152613,50871,76925,25642,152613,33.5,48.5
2025-08,152892,50964,50849,16950,152892,32.6,71.9
2025-09,147960,49320,105726,35242,147960,35.9,73.6
2025-10,153171,51057,56694,18898,153171,31.1,67.2
2025-11,148230,49410,62208,20736,148230,43.6,86.8
2025-12,153171,51057,38117,12706,153171,40.9,68.0
2026-01,147870,49290,87191,29064,147870,39.8,59.7
2026-02,156240,52080,58875,19625,156240,30.3,74.8
2026-03,172980,57660,71921,23974,172980,30.1,65.8
2026-04,167400,55800,133956,44652,167400,30.3,68.7
2026-05,172980,57660,122481,40827,172980,35.8,75.8
2026-06,167400,55800,114664,38221,167400,56.9,72.7
2026-07,178560,59520,134295,44765,178560,38.6,70.3
2026-08,183861,61287,117409,39136,183861,43.1,81.3
