month,rev_cattle,rev_other,rev_subsidy,exp_feed,exp_salary,exp_vet,exp_pasture,exp_fuel_other,exp_animals,debt_payment
2024-09,0,0,0,8678297,2520000,126600,0,1077482,27222693,1600000
2024-10,86372403,0,0,6026980,2520000,106800,0,1060078,29751203,1600000
2024-11,43015432,0,0,7021578,2520000,107600,0,1152504,30104484,1600000
2024-12,47569672,0,0,8481509,2520000,108600,0,1302028,33676978,1600000
2025-01,0,0,0,10333393,2520000,126600,0,1146792,18710368,1600000
2025-02,46042162,0,0,10076981,2520000,123800,0,1108038,25420327,1600000
2025-03,53612743,0,0,9908064,2520000,124000,0,1168106,34234685,1600000
2025-04,55971088,0,0,9189314,2520000,123600,0,1085612,35867561,1600000
2025-05,62853354,0,0,9250161,2520000,123400,0,1086132,40556330,1600000
2025-06,65789857,0,0,9726302,2520000,123400,0,1073007,42523539,1600000
2025-07,104940686,0,0,7572352,2520000,109400,0,969138,42200878,1600000
2025-08,56743157,0,0,8651598,2520000,109600,0,1140931,38864113,1600000
2025-09,70574495,0,0,8942604,2520000,109600,0,1096959,47828256,1600000
2025-10,71825908,0,0,8194036,2520000,109800,0,1161246,49005980,1600000
2025-11,72992859,0,0,10758731,2520000,109800,0,1170330,49024394,1600000
2025-12,72209955,0,0,9738970,2520000,109800,0,1178626,48007733,1600000
2026-01,68718937,0,0,8820051,2520000,106000,0,1175575,37707914,1600000
2026-02,0,0,0,8637468,2520000,124000,0,963786,39836132,1600000
2026-03,73695867,0,0,9004070,2520000,124000,0,1010086,46231406,1600000
2026-04,73807645,0,0,8910479,2520000,124000,0,1091946,46922050,1600000
2026-05,77021085,0,0,10570174,2520000,124000,0,1098067,48485280,1600000
2026-06,71749062,0,0,13577647,2520000,124000,0,994471,45864433,1600000
2026-07,58491876,0,0,11077089,2520000,128000,0,1119413,45864433,1600000
2026-08,57297644,0,0,12900239,2520000,131800,0,1254977,44167999,1600000
