month,group,heads,adg
2024-09,откорм,633,0.9
2024-10,откорм,534,1.11
2024-11,откорм,538,1.09
2024-12,откорм,543,0.94
2025-01,откорм,633,0.85
2025-02,откорм,619,0.84
2025-03,откорм,620,0.98
2025-04,откорм,618,0.97
2025-05,откорм,617,0.96
2025-06,откорм,617,1.08
2025-07,откорм,547,0.94
2025-08,откорм,548,1.01
2025-09,откорм,548,0.99
2025-10,откорм,549,0.99
2025-11,откорм,549,1.04
2025-12,откорм,549,1.07
2026-01,откорм,530,1.01
2026-02,откорм,620,0.8
2026-03,откорм,620,1.01
2026-04,откорм,620,0.97
2026-05,откорм,620,1.02
2026-06,откорм,620,0.89
2026-07,откорм,640,0.96
2026-08,откорм,659,0.96
