tag,species,sex,group,breed,pedigree,born,weight_kg,issue
KZ-31-0001,КРС,F,маточное поголовье,аулиекольская,товарное,2022-05,388,
KZ-31-0002,КРС,F,маточное поголовье,аулиекольская,товарное,2022-10,410,нет в ИСЖ
KZ-31-0003,КРС,F,маточное поголовье,аулиекольская,товарное,2021-05,454,нет в ИСЖ
KZ-31-0004,КРС,F,маточное поголовье,аулиекольская,товарное,2019-07,401,
KZ-31-0005,КРС,F,маточное поголовье,аулиекольская,товарное,2023-09,406,
KZ-31-0006,КРС,F,маточное поголовье,аулиекольская,товарное,2021-11,381,
KZ-31-0007,КРС,F,маточное поголовье,аулиекольская,товарное,2018-06,345,
KZ-31-0008,КРС,F,маточное поголовье,аулиекольская,товарное,2023-03,437,нет в ИСЖ
KZ-31-0009,КРС,F,маточное поголовье,аулиекольская,товарное,2020-11,389,нет бирки
KZ-31-0010,КРС,F,маточное поголовье,аулиекольская,товарное,2018-05,414,
KZ-31-0011,КРС,F,маточное поголовье,аулиекольская,товарное,2020-09,460,
KZ-31-0012,КРС,F,маточное поголовье,аулиекольская,товарное,2022-04,445,
KZ-31-0013,КРС,F,маточное поголовье,аулиекольская,товарное,2023-02,365,нет бирки
KZ-31-0014,КРС,F,маточное поголовье,аулиекольская,товарное,2022-06,426,
KZ-31-0015,КРС,F,маточное поголовье,аулиекольская,товарное,2020-11,481,нет в ИСЖ
KZ-31-0016,КРС,F,маточное поголовье,аулиекольская,товарное,2023-03,431,
KZ-31-0017,КРС,F,маточное поголовье,аулиекольская,товарное,2023-10,393,
KZ-31-0018,КРС,F,маточное поголовье,аулиекольская,товарное,2018-12,450,нет в ИСЖ
KZ-31-0019,КРС,F,маточное поголовье,аулиекольская,товарное,2021-04,466,
KZ-31-0020,КРС,F,маточное поголовье,аулиекольская,товарное,2020-04,366,
KZ-31-0021,КРС,F,маточное поголовье,аулиекольская,товарное,2021-12,366,нет бирки
KZ-31-0022,КРС,F,маточное поголовье,аулиекольская,товарное,2018-12,406,
KZ-31-0023,КРС,F,маточное поголовье,аулиекольская,товарное,2022-07,332,
KZ-31-0024,КРС,F,маточное поголовье,аулиекольская,товарное,2021-01,403,
KZ-31-0025,КРС,F,маточное поголовье,аулиекольская,товарное,2019-02,380,
KZ-31-0026,КРС,F,маточное поголовье,аулиекольская,товарное,2018-04,415,
KZ-31-0027,КРС,F,маточное поголовье,аулиекольская,товарное,2022-07,336,
KZ-31-0028,КРС,F,маточное поголовье,аулиекольская,товарное,2018-07,404,
KZ-31-0029,КРС,F,маточное поголовье,аулиекольская,товарное,2021-08,452,нет бирки
KZ-31-0030,КРС,F,маточное поголовье,аулиекольская,товарное,2021-12,406,
KZ-31-0031,КРС,F,маточное поголовье,аулиекольская,товарное,2021-12,363,
KZ-31-0032,КРС,F,маточное поголовье,аулиекольская,товарное,2020-08,383,
KZ-31-0033,КРС,F,маточное поголовье,аулиекольская,товарное,2018-01,412,нет бирки
KZ-31-0034,КРС,F,маточное поголовье,аулиекольская,товарное,2022-02,415,нет в ИСЖ
KZ-31-0035,КРС,F,маточное поголовье,аулиекольская,товарное,2018-01,488,
KZ-31-0036,КРС,F,маточное поголовье,аулиекольская,товарное,2022-11,359,
KZ-31-0037,КРС,F,маточное поголовье,аулиекольская,товарное,2023-05,396,
KZ-31-0038,КРС,F,маточное поголовье,аулиекольская,товарное,2018-10,452,
KZ-31-0039,КРС,F,маточное поголовье,аулиекольская,товарное,2020-12,401,
KZ-31-0040,КРС,F,маточное поголовье,аулиекольская,товарное,2024-01,435,
KZ-31-0041,КРС,F,маточное поголовье,аулиекольская,товарное,2022-02,412,нет бирки
KZ-31-0042,КРС,F,маточное поголовье,аулиекольская,товарное,2021-03,424,
KZ-31-0043,КРС,F,маточное поголовье,аулиекольская,товарное,2021-11,459,
KZ-31-0044,КРС,F,маточное поголовье,аулиекольская,товарное,2022-06,457,
KZ-31-0045,КРС,F,маточное поголовье,аулиекольская,товарное,2018-04,372,
KZ-31-0046,КРС,F,маточное поголовье,аулиекольская,товарное,2022-06,438,нет бирки
KZ-31-0047,КРС,F,маточное поголовье,аулиекольская,товарное,2023-04,361,
KZ-31-0048,КРС,F,маточное поголовье,аулиекольская,товарное,2022-03,391,
KZ-31-0049,КРС,F,маточное поголовье,аулиекольская,товарное,2022-05,484,
KZ-31-0050,КРС,F,маточное поголовье,аулиекольская,товарное,2021-06,349,
KZ-31-0051,КРС,F,маточное поголовье,аулиекольская,товарное,2020-04,419,
KZ-31-0052,КРС,F,маточное поголовье,аулиекольская,товарное,2018-03,384,
KZ-31-0053,КРС,F,маточное поголовье,аулиекольская,товарное,2017-06,352,
KZ-31-0054,КРС,F,маточное поголовье,аулиекольская,товарное,2018-05,368,
KZ-31-0055,КРС,F,маточное поголовье,аулиекольская,товарное,2022-08,371,нет бирки
KZ-31-0056,КРС,F,маточное поголовье,аулиекольская,товарное,2018-11,449,
KZ-31-0057,КРС,F,маточное поголовье,аулиекольская,товарное,2019-07,463,
KZ-31-0058,КРС,F,маточное поголовье,аулиекольская,товарное,2018-04,429,
KZ-31-0059,КРС,F,маточное поголовье,аулиекольская,товарное,2018-09,355,нет в ИСЖ
KZ-31-0060,КРС,F,маточное поголовье,аулиекольская,товарное,2023-07,415,
KZ-31-0061,КРС,F,маточное поголовье,аулиекольская,товарное,2018-03,479,нет бирки
KZ-31-0062,КРС,F,маточное поголовье,аулиекольская,товарное,2018-11,401,нет бирки
KZ-32-0063,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,103,нет бирки
KZ-32-0064,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,198,
KZ-32-0065,КРС,M,молодняк КРС,аулиекольская,товарное,2025-11,259,
KZ-32-0066,КРС,M,молодняк КРС,аулиекольская,товарное,2026-03,205,
KZ-32-0067,КРС,M,молодняк КРС,аулиекольская,товарное,2025-07,230,
KZ-32-0068,КРС,M,молодняк КРС,аулиекольская,товарное,2025-11,169,
KZ-32-0069,КРС,M,молодняк КРС,аулиекольская,товарное,2025-08,157,
KZ-32-0070,КРС,M,молодняк КРС,аулиекольская,товарное,2025-05,151,нет бирки
KZ-32-0071,КРС,M,молодняк КРС,аулиекольская,товарное,2025-07,121,
KZ-32-0072,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,136,
KZ-32-0073,КРС,M,молодняк КРС,аулиекольская,товарное,2026-03,204,нет акта взвешивания
KZ-32-0074,КРС,M,молодняк КРС,аулиекольская,товарное,2025-09,217,нет акта взвешивания
KZ-32-0075,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,171,нет акта взвешивания
KZ-32-0076,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,136,нет бирки
KZ-32-0077,КРС,M,молодняк КРС,аулиекольская,товарное,2025-11,209,
KZ-32-0078,КРС,M,молодняк КРС,аулиекольская,товарное,2025-09,149,
KZ-32-0079,КРС,M,молодняк КРС,аулиекольская,товарное,2025-11,239,нет бирки
KZ-32-0080,КРС,M,молодняк КРС,аулиекольская,товарное,2025-12,195,
KZ-32-0081,КРС,M,молодняк КРС,аулиекольская,товарное,2025-07,225,нет акта взвешивания
KZ-32-0082,КРС,M,молодняк КРС,аулиекольская,товарное,2025-06,192,
KZ-32-0083,КРС,M,молодняк КРС,аулиекольская,товарное,2026-01,304,нет акта взвешивания
KZ-32-0084,КРС,M,молодняк КРС,аулиекольская,товарное,2025-10,217,
KZ-32-0085,КРС,M,молодняк КРС,аулиекольская,товарное,2026-02,200,нет акта взвешивания
KZ-33-0086,МРС,F,овцематки,едильбаевская,товарное,2023-11,60,нет бирки
KZ-33-0087,МРС,F,овцематки,едильбаевская,товарное,2023-08,56,нет бирки
KZ-33-0088,МРС,F,овцематки,едильбаевская,товарное,2021-06,63,
KZ-33-0089,МРС,F,овцематки,едильбаевская,товарное,2025-03,61,
KZ-33-0090,МРС,F,овцематки,едильбаевская,товарное,2024-12,66,нет бирки
KZ-33-0091,МРС,F,овцематки,едильбаевская,товарное,2024-07,62,нет бирки
KZ-33-0092,МРС,F,овцематки,едильбаевская,товарное,2020-10,63,нет бирки
KZ-33-0093,МРС,F,овцематки,едильбаевская,товарное,2024-10,60,
KZ-33-0094,МРС,F,овцематки,едильбаевская,товарное,2020-11,71,
KZ-33-0095,МРС,F,овцематки,едильбаевская,товарное,2025-04,60,нет бирки
KZ-33-0096,МРС,F,овцематки,едильбаевская,товарное,2020-12,68,
KZ-33-0097,МРС,F,овцематки,едильбаевская,товарное,2025-06,53,
KZ-33-0098,МРС,F,овцематки,едильбаевская,товарное,2020-10,62,нет бирки
KZ-33-0099,МРС,F,овцематки,едильбаевская,товарное,2024-11,57,
