month,heads,cows,young,born,born_cattle,bought,sold,dead,sold_kg,bought_kg,avg_kg,cattle_kg,sheep_kg
2025-11,385,86,299,0,0,0,2,3,760,0,0,29240,12558
2025-12,374,83,291,0,0,0,11,0,1500,0,0,28220,12222
2026-01,372,81,291,0,0,0,1,1,380,0,0,27540,12222
2026-02,359,78,281,0,0,0,9,4,740,0,0,26520,11802
2026-03,609,75,534,253,0,0,1,2,380,0,0,25500,22428
2026-04,640,112,528,41,41,0,2,8,760,0,0,38080,22176
2026-05,451,109,342,0,0,0,186,3,8705,0,0,37060,14364
2026-06,445,105,340,0,0,0,2,4,760,0,0,35700,14280
2026-07,443,103,340,0,0,0,1,1,380,0,0,35020,14280
2026-08,439,100,339,0,0,0,1,3,380,0,0,34000,14238
