month,region,product,tg_per_kg
2024-09,Абай,barley,54.768
2026-01,Абай,barley,55.162
2022-10,Акмолинская,barley,90.323
2022-11,Акмолинская,barley,85.497
2022-12,Акмолинская,barley,83.891
2023-01,Акмолинская,barley,85.076
2023-02,Акмолинская,barley,89.856
2023-04,Акмолинская,barley,85.039
2023-05,Акмолинская,barley,104.8
2023-08,Акмолинская,barley,75.204
2023-09,Акмолинская,barley,61.396
2023-10,Акмолинская,barley,57.915
2023-11,Акмолинская,barley,60.02
2023-12,Акмолинская,barley,61.799
2025-02,Акмолинская,barley,48.214
2025-09,Акмолинская,barley,75.893
2025-12,Акмолинская,barley,70.536
2022-10,Актюбинская,barley,80.986
2022-11,Актюбинская,barley,77.696
2023-01,Актюбинская,barley,75.065
2024-11,Актюбинская,barley,46.207
2025-10,Актюбинская,barley,63.303
2025-11,Актюбинская,barley,72.457
2022-12,Алматинская,barley,95.051
2022-10,Восточно-Казахстанская,barley,74.265
2022-11,Восточно-Казахстанская,barley,91.559
2022-12,Восточно-Казахстанская,barley,86.502
2023-01,Восточно-Казахстанская,barley,80.917
2023-02,Восточно-Казахстанская,barley,67.34
2023-03,Восточно-Казахстанская,barley,58.666
2023-04,Восточно-Казахстанская,barley,58.666
2023-05,Восточно-Казахстанская,barley,82.052
2023-06,Восточно-Казахстанская,barley,85.016
2023-10,Восточно-Казахстанская,barley,60.581
2023-11,Восточно-Казахстанская,barley,59.93
2023-12,Восточно-Казахстанская,barley,57.962
2024-01,Восточно-Казахстанская,barley,62.533
2024-02,Восточно-Казахстанская,barley,57.777
2024-03,Восточно-Казахстанская,barley,61.624
2024-04,Восточно-Казахстанская,barley,56.519
2024-05,Восточно-Казахстанская,barley,60.352
2024-06,Восточно-Казахстанская,barley,74.813
2024-07,Восточно-Казахстанская,barley,53.445
2024-09,Восточно-Казахстанская,barley,73.576
2024-10,Восточно-Казахстанская,barley,68.27
2025-03,Восточно-Казахстанская,barley,78.909
2025-09,Восточно-Казахстанская,barley,97.725
2025-10,Восточно-Казахстанская,barley,85.524
2025-11,Восточно-Казахстанская,barley,90.879
2026-01,Восточно-Казахстанская,barley,70.09
2026-04,Восточно-Казахстанская,barley,70.357
2026-06,Восточно-Казахстанская,barley,92.347
2026-08,Восточно-Казахстанская,barley,71.391
2022-10,Жамбылская,barley,87.026
2022-11,Жамбылская,barley,101.757
2022-12,Жамбылская,barley,106.958
2023-08,Жамбылская,barley,94.518
2023-09,Жамбылская,barley,93.989
2023-10,Жамбылская,barley,86.86
2022-10,Жетісу,barley,99.918
2022-11,Жетісу,barley,100.369
2022-12,Жетісу,barley,99.566
2025-01,Жетісу,barley,50.0
2022-10,Западно-Казахстанская,barley,81.396
2022-11,Западно-Казахстанская,barley,93.509
2023-01,Западно-Казахстанская,barley,86.439
2023-02,Западно-Казахстанская,barley,99.241
2023-03,Западно-Казахстанская,barley,99.241
2023-04,Западно-Казахстанская,barley,99.241
2023-06,Западно-Казахстанская,barley,99.496
2023-07,Западно-Казахстанская,barley,83.64
2023-11,Западно-Казахстанская,barley,60.517
2024-01,Западно-Казахстанская,barley,52.283
2024-10,Западно-Казахстанская,barley,53.042
2024-11,Западно-Казахстанская,barley,53.018
2026-01,Западно-Казахстанская,barley,62.015
2026-05,Западно-Казахстанская,barley,53.0
2026-07,ЗападноКазахстанская,barley,53.0
2022-10,Карагандинская,barley,61.073
2022-11,Карагандинская,barley,63.76
2023-01,Карагандинская,barley,73.068
2023-02,Карагандинская,barley,47.095
2023-03,Карагандинская,barley,85.129
2023-04,Карагандинская,barley,66.59
2023-05,Карагандинская,barley,67.607
2023-06,Карагандинская,barley,63.547
2023-07,Карагандинская,barley,60.463
2023-10,Карагандинская,barley,56.524
2023-11,Карагандинская,barley,55.909
2024-02,Карагандинская,barley,55.35
2024-05,Карагандинская,barley,55.35
2024-06,Карагандинская,barley,45.75
2024-07,Карагандинская,barley,45.75
2024-09,Карагандинская,barley,55.35
2024-10,Карагандинская,barley,42.857
2024-11,Карагандинская,barley,55.35
2024-12,Карагандинская,barley,55.35
2025-01,Карагандинская,barley,55.35
2025-03,Карагандинская,barley,55.35
2025-12,Карагандинская,barley,55.35
2026-01,Карагандинская,barley,53.16
2026-04,Карагандинская,barley,69.828
2026-06,Карагандинская,barley,65.0
2026-08,Карагандинская,barley,70.689
2022-10,Костанайская,barley,84.995
2022-11,Костанайская,barley,81.826
2022-12,Костанайская,barley,83.095
2023-02,Костанайская,barley,75.893
2023-10,Костанайская,barley,49.107
2023-11,Костанайская,barley,49.107
2024-10,Костанайская,barley,45.22
2024-11,Костанайская,barley,40.179
2024-12,Костанайская,barley,47.321
2025-01,Костанайская,barley,50.654
2025-02,Костанайская,barley,55.293
2025-06,Костанайская,barley,80.357
2025-09,Костанайская,barley,73.627
2025-10,Костанайская,barley,67.161
2023-12,Павлодарская,barley,65.573
2024-01,Павлодарская,barley,62.185
2025-11,Павлодарская,barley,62.717
2025-12,Павлодарская,barley,75.89
2019-10,Республика Казахстан,barley,45.571
2019-12,Республика Казахстан,barley,48.156
2020-03,Республика Казахстан,barley,51.143
2020-04,Республика Казахстан,barley,51.863
2020-05,Республика Казахстан,barley,55.748
2020-06,Республика Казахстан,barley,58.721
2020-07,Республика Казахстан,barley,50.234
2020-08,Республика Казахстан,barley,55.543
2020-09,Республика Казахстан,barley,52.424
2020-10,Республика Казахстан,barley,58.29
2020-11,Республика Казахстан,barley,55.474
2020-12,Республика Казахстан,barley,62.172
2021-02,Республика Казахстан,barley,64.333
2021-03,Республика Казахстан,barley,69.354
2021-04,Республика Казахстан,barley,73.408
2021-05,Республика Казахстан,barley,73.809
2021-06,Республика Казахстан,barley,77.933
2021-07,Республика Казахстан,barley,58.361
2021-08,Республика Казахстан,barley,80.005
2021-09,Республика Казахстан,barley,84.471
2021-10,Республика Казахстан,barley,84.084
2021-11,Республика Казахстан,barley,82.997
2021-12,Республика Казахстан,barley,81.307
2022-10,Республика Казахстан,barley,87.143
2022-11,Республика Казахстан,barley,87.09
2022-12,Республика Казахстан,barley,87.031
2023-01,Республика Казахстан,barley,89.05
2023-02,Республика Казахстан,barley,80.241
2023-03,Республика Казахстан,barley,84.998
2023-04,Республика Казахстан,barley,76.526
2023-05,Республика Казахстан,barley,76.541
